mjd,mean_rel_rv,std_rel_rv
60357.450329,1.72,5.86
60357.461255,-5.41,2.37
60357.472181,-1.21,2.64
60357.483109,2.83,2.87
60357.49403,6.52,7.53
60357.504949,-3.0,1.44
60357.515873,0.01,1.21
60357.526794,-0.38,7.03
60357.537717,-3.92,2.71
60357.548639,7.92,6.75
60357.559566,4.94,8.84
60357.570487,-3.26,3.06
60357.581408,0.83,1.34
60357.59233,1.4,8.24
60357.603251,-8.05,3.94
60357.614172,-3.26,3.07
60357.625095,-3.84,7.55
60357.636019,-1.6,2.26
60357.64694,0.82,2.91
60357.657861,3.53,3.95
60357.668781,5.2,12.14
